first_name,last_name,birth_year,birth_country,id,edited_first,edited_last
David,Aardsma,1981.0,USA,aardsda01,david,aardsma
Hank,Aaron,1934.0,USA,aaronha01,hank,aaron
Tommie,Aaron,1939.0,USA,aaronto01,tommie,aaron
Don,Aase,1954.0,USA,aasedo01,don,aase
Andy,Abad,1972.0,USA,abadan01,andy,abad
Fernando,Abad,1985.0,D.R.,abadfe01,fernando,abad
John,Abadie,1850.0,USA,abadijo01,john,abadie
Ed,Abbaticchio,1877.0,USA,abbated01,ed,abbaticchio
Bert,Abbey,1869.0,USA,abbeybe01,bert,abbey
Charlie,Abbey,1866.0,USA,abbeych01,charlie,abbey
Andrew,Abbott,1999.0,USA,abbotan01,andrew,abbott
Cory,Abbott,1995.0,USA,abbotco01,cory,abbott
Dan,Abbott,1862.0,USA,abbotda01,dan,abbott
Fred,Abbott,1874.0,USA,abbotfr01,fred,abbott
Glenn,Abbott,1951.0,USA,abbotgl01,glenn,abbott
Jeff,Abbott,1972.0,USA,abbotje01,jeff,abbott
Jim,Abbott,1967.0,USA,abbotji01,jim,abbott
Kurt,Abbott,1969.0,USA,abbotku01,kurt,abbott
Kyle,Abbott,1968.0,USA,abbotky01,kyle,abbott
Ody,Abbott,1886.0,USA,abbotod01,ody,abbott
Paul,Abbott,1967.0,USA,abbotpa01,paul,abbott
Al,Aber,1927.0,USA,aberal01,al,aber
Frank,Abercrombie,1850.0,USA,abercda01,frank,abercrombie
Reggie,Abercrombie,1980.0,USA,abercre01,reggie,abercrombie
Bill,Abernathie,1929.0,USA,abernbi01,bill,abernathie
Brent,Abernathy,1977.0,USA,abernbr01,brent,abernathy
Ted,Abernathy,1921.0,USA,abernte01,ted,abernathy
Ted,Abernathy,1933.0,USA,abernte02,ted,abernathy
Woody,Abernathy,1915.0,USA,abernwo01,woody,abernathy
Cliff,Aberson,1921.0,USA,aberscl01,cliff,aberson
Harry,Ables,1883.0,USA,ablesha01,harry,ables
Shawn,Abner,1966.0,USA,abnersh01,shawn,abner
Cal,Abrams,1924.0,USA,abramca01,cal,abrams
CJ,Abrams,2000.0,USA,abramcj01,cj,abrams
George,Abrams,1897.0,USA,abramge01,george,abrams
Johnny,Abrego,1962.0,USA,abregjo01,johnny,abrego
Albert,Abreu,1995.0,D.R.,abreual01,albert,abreu
Bobby,Abreu,1974.0,Venezuela,abreubo01,bobby,abreu
Bryan,Abreu,1997.0,D.R.,abreubr01,bryan,abreu
Joe,Abreu,1913.0,USA,abreujo01,joe,abreu
Jose,Abreu,1987.0,Cuba,abreujo02,jose,abreu
Juan,Abreu,1985.0,D.R.,abreuju01,juan,abreu
Tony,Abreu,1984.0,D.R.,abreuto01,tony,abreu
Wilyer,Abreu,1999.0,Venezuela,abreuwi02,wilyer,abreu
Winston,Abreu,1977.0,D.R.,abreuwi01,winston,abreu
Bill,Abstein,1883.0,USA,abstebi01,bill,abstein
Jeremy,Accardo,1981.0,USA,accarje01,jeremy,accardo
Domingo,Acevedo,1994.0,D.R.,acevedo01,domingo,acevedo
Jose,Acevedo,1977.0,D.R.,acevejo01,jose,acevedo
Juan,Acevedo,1970.0,Mexico,aceveju01,juan,acevedo
Alfredo,Aceves,1982.0,Mexico,aceveal01,alfredo,aceves
A. J.,Achter,1988.0,USA,achteaj01,a. j.,achter
Jim,Acker,1958.0,USA,ackerji01,jim,acker
Tom,Acker,1930.0,USA,ackerto01,tom,acker
Dustin,Ackley,1988.0,USA,ackledu01,dustin,ackley
Fritz,Ackley,1937.0,USA,acklefr01,fritz,ackley
Cy,Acosta,1946.0,Mexico,acostcy01,cy,acosta
Ed,Acosta,1944.0,Panama,acosted01,ed,acosta
Jose,Acosta,1891.0,Cuba,acostjo01,jose,acosta
Manny,Acosta,1981.0,Panama,acostma01,manny,acosta
Merito,Acosta,1896.0,Cuba,acostme01,merito,acosta
Mark,Acre,1968.0,USA,acrema01,mark,acre
Manny,Acta,1969.0,D.R.,actama99,manny,acta
Garrett,Acton,1998.0,USA,actonga01,garrett,acton
Luisangel,Acuña,2002.0,Venezuela,acunalu01,luisangel,acuna
Ronald,Acuña,1997.0,Venezuela,acunaro01,ronald,acuna
Bill,Adair,1913.0,USA,adairbi99,bill,adair
Jerry,Adair,1936.0,USA,adairje01,jerry,adair
Jimmy,Adair,1907.0,USA,adairji01,jimmy,adair
Jason,Adam,1991.0,USA,adamja01,jason,adam
Cristhian,Adames,1991.0,D.R.,adamecr01,cristhian,adames
Willy,Adames,1995.0,D.R.,adamewi01,willy,adames
Ace,Adams,1910.0,USA,adamsac01,ace,adams
Austin,Adams,1986.0,USA,adamsau01,austin,adams
Austin,Adams,1991.0,USA,adamsau02,austin,adams
Babe,Adams,1882.0,USA,adamsba01,babe,adams
Bert,Adams,1891.0,USA,adamsbe01,bert,adams
Bob,Adams,1907.0,USA,adamsbo02,bob,adams
Bob,Adams,1901.0,USA,adamsbo01,bob,adams
Bob,Adams,1952.0,USA,adamsbo04,bob,adams
Bobby,Adams,1921.0,USA,adamsbo03,bobby,adams
Buster,Adams,1915.0,USA,adamsbu01,buster,adams
Chance,Adams,1994.0,USA,adamsch01,chance,adams
Dan,Adams,1887.0,USA,adamsda01,dan,adams
David,Adams,1987.0,USA,adamsda02,david,adams
Dick,Adams,1920.0,USA,adamsdi01,dick,adams
Doc,Adams,1814.0,USA,adamsdo99,doc,adams
Doug,Adams,1943.0,USA,adamsdo01,doug,adams
George,Adams,1855.0,USA,adamsge01,george,adams
Glenn,Adams,1947.0,USA,adamsgl01,glenn,adams
Herb,Adams,1928.0,USA,adamshe01,herb,adams
Jim,Adams,1868.0,USA,adamsji01,jim,adams
Joe,Adams,1877.0,USA,adamsjo01,joe,adams
Jordyn,Adams,1999.0,USA,adamsjo03,jordyn,adams
Karl,Adams,1891.0,USA,adamska01,karl,adams
Lane,Adams,1989.0,USA,adamsla01,lane,adams
Matt,Adams,1988.0,USA,adamsma01,matt,adams
Mike,Adams,1978.0,USA,adamsmi03,mike,adams
Mike,Adams,1948.0,USA,adamsmi02,mike,adams
Red,Adams,1921.0,USA,adamsre01,red,adams
Rick,Adams,1878.0,USA,adamsri01,rick,adams
Ricky,Adams,1959.0,USA,adamsri02,ricky,adams
Riley,Adams,1996.0,USA,adamsri03,riley,adams
Russ,Adams,1980.0,USA,adamsru01,russ,adams
Ryan,Adams,1987.0,USA,adamsry01,ryan,adams
Sparky,Adams,1894.0,USA,adamssp01,sparky,adams
Spencer,Adams,1898.0,USA,adamssp02,spencer,adams
Terry,Adams,1973.0,USA,adamste01,terry,adams
Willie,Adams,1890.0,USA,adamswi01,willie,adams
Willie,Adams,1972.0,USA,adamswi02,willie,adams
Joel,Adamson,1971.0,USA,adamsjo02,joel,adamson
Mike,Adamson,1947.0,USA,adamsmi01,mike,adamson
Joe,Adcock,1927.0,USA,adcocjo01,joe,adcock
Nathan,Adcock,1988.0,USA,adcocna01,nathan,adcock
Ty,Adcock,1997.0,USA,adcocty01,ty,adcock
Bob,Addis,1925.0,USA,addisbo01,bob,addis
Jim,Adduci,1959.0,USA,adducji01,jim,adduci
Jim,Adduci,1985.0,CAN,adducji02,jim,adduci
Bob,Addy,1842.0,CAN,addybo01,bob,addy
Jo,Adell,1999.0,USA,adelljo01,jo,adell
Nick,Adenhart,1986.0,USA,adenhni01,nick,adenhart
Morrie,Aderholt,1915.0,USA,aderhmo01,morrie,aderholt
Dewey,Adkins,1918.0,USA,adkinde01,dewey,adkins
Dick,Adkins,1920.0,USA,adkindi01,dick,adkins
Grady,Adkins,1897.0,USA,adkingr01,grady,adkins
Jon,Adkins,1977.0,USA,adkinjo01,jon,adkins
Merle,Adkins,1872.0,USA,adkindo01,merle,adkins
Steve,Adkins,1964.0,USA,adkinst01,steve,adkins
Tim,Adleman,1987.0,USA,adlemti01,tim,adleman
Dave,Adlesh,1943.0,USA,adlesda01,dave,adlesh
Joan,Adon,1998.0,D.R.,adonjo01,joan,adon
Ehire,Adrianza,1989.0,Venezuela,adriaeh01,ehire,adrianza
Troy,Afenir,1963.0,USA,afenitr01,troy,afenir
Jeremy,Affeldt,1979.0,USA,affelje01,jeremy,affeldt
Benny,Agbayani,1971.0,USA,agbaybe01,benny,agbayani
Tommie,Agee,1942.0,USA,ageeto01,tommie,agee
Harry,Agganis,1929.0,USA,agganha01,harry,agganis
Joe,Agler,1887.0,USA,aglerjo01,joe,agler
Sam,Agnew,1887.0,USA,agnewsa01,sam,agnew
Juan,Agosto,1958.0,P.R.,agostju01,juan,agosto
Dario,Agrazal,1994.0,Panama,agrazda01,dario,agrazal
Luis,Aguayo,1959.0,P.R.,aguaylu01,luis,aguayo
Julian,Aguiar,2001.0,USA,aguiaju01,julian,aguiar
Chris,Aguila,1979.0,USA,aguilch01,chris,aguila
Jesus,Aguilar,1990.0,Venezuela,aguilje01,jesus,aguilar
Miguel,Aguilar,1991.0,Mexico,aguilmi01,miguel,aguilar
Ryan,Aguilar,1994.0,USA,aguilry01,ryan,aguilar
Rick,Aguilera,1961.0,USA,aguilri01,rick,aguilera
Hank,Aguirre,1931.0,USA,aguirha01,hank,aguirre
Bill,Ahearn,1858.0,USA,ahearch01,bill,ahearn
Pat,Ahearne,1969.0,USA,ahearpa01,pat,ahearne
Nick,Ahmed,1990.0,USA,ahmedni01,nick,ahmed
Willie,Aikens,1954.0,USA,aikenwi01,willie,aikens
Danny,Ainge,1959.0,USA,aingeda01,danny,ainge
Eddie,Ainsmith,1890.0,Russia,ainsmed01,eddie,ainsmith
Kurt,Ainsworth,1978.0,USA,ainswku01,kurt,ainsworth
Raleigh,Aitchison,1887.0,USA,aitchra01,raleigh,aitchison
George,Aiton,1890.0,USA,aitonge01,george,aiton
John,Ake,1861.0,USA,akejo01,john,ake
Jack,Aker,1940.0,USA,akerja01,jack,aker
Darrel,Akerfelds,1962.0,USA,akerfda01,darrel,akerfelds
Bill,Akers,1904.0,USA,akersbi01,bill,akers
Jerry,Akers,1887.0,USA,akersje01,jerry,akers
Keegan,Akin,1995.0,USA,akinke01,keegan,akin
Shogo,Akiyama,1988.0,Japan,akiyash01,shogo,akiyama
R. J.,Alaniz,1991.0,USA,alanirj01,r. j.,alaniz
Gibson,Alba,1960.0,D.R.,albagi01,gibson,alba
