key_mlbam,team,name_last,name_first,key_retro,key_bbref,key_fangraphs,mlb_played_first,mlb_played_last,name
621566,ATL,olson,matt,olsom001,olsonma02,14344,2016.0,2025.0,matt olson
656941,PHI,schwarber,kyle,schwk001,schwaky01,16478,2015.0,2025.0,kyle schwarber
668227,SEA,arozarena,randy,arozr001,arozara01,19290,2019.0,2025.0,randy arozarena
663728,SEA,raleigh,cal,ralec001,raleica01,21534,2021.0,2025.0,cal raleigh
660271,LAD,ohtani,shohei,ohtas001,ohtansh01,19755,2018.0,2025.0,shohei ohtani
672695,AZ,perdomo,geraldo,perdg001,perdoge01,22799,2021.0,2025.0,geraldo perdomo
596019,NYM,lindor,francisco,lindf001,lindofr01,12916,2015.0,2025.0,francisco lindor
665742,NYM,soto,juan,sotoj001,sotoju01,20123,2018.0,2025.0,juan soto
641487,SEA,crawford,j. p.,crawj002,crawfjp01,15491,2017.0,2025.0,j. p. crawford
695578,WSH,wood,james,woodj004,woodja03,-1,2024.0,2025.0,james wood
668930,MIL,turang,brice,turab002,turanbr02,22186,2023.0,2025.0,brice turang
680757,CLE,kwan,steven,kwans001,kwanst01,24610,2022.0,2025.0,steven kwan
624413,NYM,alonso,pete,alonp001,alonspe01,19251,2019.0,2025.0,pete alonso
650402,DET,torres,gleyber,torrg001,torregl01,16997,2018.0,2025.0,gleyber torres
673548,CHC,suzuki,seiya,suzus001,suzukse01,30116,2022.0,2025.0,seiya suzuki
664023,CHC,happ,ian,happi001,happia01,17919,2017.0,2025.0,ian happ
682985,DET,greene,riley,greer003,greenri03,25976,2022.0,2025.0,riley greene
621493,LAA,ward,taylor,wardt002,wardta01,17548,2018.0,2025.0,taylor ward
679529,DET,torkelson,spencer,torks001,torkesp01,27465,2022.0,2025.0,spencer torkelson
642715,SF,adames,willy,adamw002,adamewi01,15986,2018.0,2025.0,willy adames
592450,NYY,judge,aaron,judga001,judgeaa01,15640,2016.0,2025.0,aaron judge
592885,MIL,yelich,christian,yelic001,yelicch01,11477,2013.0,2025.0,christian yelich
608070,CLE,ramírez,josé,ramij003,ramirjo01,13510,2013.0,2025.0,jose ramirez
682829,CIN,de la cruz,elly,delae003,delacel01,26668,2023.0,2025.0,elly de la cruz
641355,NYY,bellinger,cody,bellc002,bellico01,15998,2017.0,2025.0,cody bellinger
677594,SEA,rodríguez,julio,rodrj007,rodriju01,23697,2022.0,2025.0,julio rodriguez
592518,SD,machado,manny,machm001,machama01,11493,2012.0,2025.0,manny machado
670770,CIN,friedl,tj,friet001,friedtj01,19522,2021.0,2025.0,tj friedl
680776,BOS,duran,jarren,duraj001,duranja01,24617,2021.0,2025.0,jarren duran
665489,TOR,guerrero,vladimir,guerv002,guerrvl02,19611,2019.0,2025.0,vladimir guerrero
661388,MIL,contreras,william,contw002,contrwi02,20503,2020.0,2025.0,william contreras
671218,SF,ramos,heliot,ramoh002,ramoshe02,22515,2022.0,2025.0,heliot ramos
665487,SD,tatís,fernando,tatif002,tatisfe02,19709,2019.0,2025.0,fernando tatis
542303,ATL,ozuna,marcell,ozunm001,ozunama01,10324,2013.0,2025.0,marcell ozuna
607043,NYM,nimmo,brandon,nimmb001,nimmobr01,12927,2016.0,2025.0,brandon nimmo
668804,PIT,reynolds,bryan,reynb001,reynobr01,19326,2019.0,2025.0,bryan reynolds
621020,CHC,swanson,dansby,swand001,swansda01,18314,2016.0,2025.0,dansby swanson
605141,LAD,betts,mookie,bettm001,bettsmo01,13611,2014.0,2025.0,mookie betts
681082,PHI,stott,bryson,stotb001,stottbr01,26294,2022.0,2025.0,bryson stott
667670,ATH,rooker,brent,rookb001,rookebr01,19627,2020.0,2025.0,brent rooker
686469,KC,pasquantino,vinnie,pasqv001,pasquvi01,27676,2022.0,2025.0,vinnie pasquantino
663757,NYY,grisham,trent,grist001,grishtr01,18564,2019.0,2025.0,trent grisham
683011,NYY,volpe,anthony,volpa001,volpean01,27647,2023.0,2025.0,anthony volpe
677951,KC,witt,bobby,wittb002,wittbo02,25764,2022.0,2025.0,bobby witt
518692,LAD,freeman,freddie,freef001,freemfr01,5361,2010.0,2025.0,freddie freeman
545361,LAA,trout,mike,troum001,troutmi01,10155,2011.0,2025.0,mike trout
682998,AZ,carroll,corbin,carrc005,carroco02,25878,2022.0,2025.0,corbin carroll
607208,PHI,turner,trea,turnt001,turnetr01,16252,2015.0,2025.0,trea turner
596115,BOS,story,trevor,stort001,storytr01,12564,2016.0,2025.0,trevor story
650490,TB,díaz,yandy,diazy001,diazya01,16578,2017.0,2025.0,yandy diaz
672580,KC,garcía,maikel,garcm003,garcima01,22715,2022.0,2025.0,maikel garcia
543807,TOR,springer,george,sprig001,springe01,12856,2014.0,2025.0,george springer
650333,SD,arráez,luis,arral001,arraelu01,18568,2019.0,2025.0,luis arraez
691406,TB,caminero,junior,camij001,caminju01,28163,2023.0,2025.0,junior caminero
671732,ATH,butler,lawrence,butll001,butlela01,22542,2023.0,2025.0,lawrence butler
681624,LAD,pages,andy,pagea001,pagesan01,-1,2024.0,2025.0,andy pages
702616,BAL,holliday,jackson,hollj003,hollija01,-1,2024.0,2025.0,jackson holliday
572233,HOU,walker,christian,walkc002,walkech02,13419,2014.0,2025.0,christian walker
683002,BAL,henderson,gunnar,hendg002,hendegu01,26289,2022.0,2025.0,gunnar henderson
645277,ATL,albies,ozzie,albio001,albieoz01,16556,2017.0,2025.0,ozzie albies
686217,MIL,frelick,sal,frels001,frelisa01,29622,2023.0,2025.0,sal frelick
680574,CIN,mclain,matt,mclam001,mclaima01,29695,2023.0,2025.0,matt mclain
683737,CHC,busch,michael,buscm003,buschmi02,26319,2023.0,2025.0,michael busch
687597,COL,beck,jordan,beckj003,beckjo01,-1,2024.0,2025.0,jordan beck
663656,CHC,tucker,kyle,tuckk001,tuckeky01,18345,2018.0,2025.0,kyle tucker
691718,CHC,crow-armstrong,pete,crowp001,crowape01,27769,2023.0,2025.0,pete crow-armstrong
663457,STL,nootbaar,lars,nootl001,nootbla01,21454,2021.0,2025.0,lars nootbaar
663538,CHC,hoerner,nico,hoern001,hoernni01,21479,2019.0,2025.0,nico hoerner
663697,KC,india,jonathan,indij001,indiajo01,21523,2021.0,2025.0,jonathan india
682928,WSH,abrams,cj,abrac001,abramcj01,25768,2022.0,2025.0,cj abrams
694671,TEX,langford,wyatt,langw001,langfwy01,33333,2024.0,2025.0,wyatt langford
678246,CWS,vargas,miguel,vargm001,vargami01,20178,2022.0,2025.0,miguel vargas
666182,TOR,bichette,bo,bichb001,bichebo01,19612,2019.0,2025.0,bo bichette
657757,SD,sheets,gavin,sheeg001,sheetga01,19901,2021.0,2025.0,gavin sheets
